email,username,name,phone_number,role,password
dfrancis@example.com,brianrandall,James Luna,738.832.8126x6079,user,fX#7ZBh+el
langanthony@example.org,penaronald,Tonya Green,+1-626-608-3547x86645,admin,2k5+auEd$g
juan67@example.com,jamieglover,Jason Velazquez,(949)313-5387x30625,user,2+4Q$zaNk$
jenniferschwartz@example.org,wardlance,Angela Howell,+1-245-231-4916,admin,@Qa9Ppexm#
ssanchez@example.com,stephen16,Rodney Johnson,310.693.5830x6050,user,^dQpBbJ(34
econtreras@example.org,david27,Daniel Jacobs,(474)787-7179,user,@fV56Dzgq$
debra87@example.com,yramirez,Matthew Moore,001-861-456-1206x640,admin,sS@J4ZPdl!
todd99@example.net,smithpaul,John Williams,8555643086,user,z5_**XjO(x
rachel30@example.com,zblack,Andrew White,(714)362-7085,user,&B32Ny(dd^
stacey54@example.net,moralesjulie,Deborah Gutierrez,808.223.0554x5618,user,f&z4GRaFuU
